name,category,district,entrance_fee,accessibility,trekking_difficulty,description,image_path
Lover's leap waterfall,attraction,Hatton,0.0,Moderate,N/A,Lover's leap waterfall located in Hatton.,data/images/lovers_leap_waterfall.jpg
Lucky land spice garden,attraction,Matale,0.0,Moderate,N/A,Lucky land spice garden located in Matale.,data/images/lucky_land_spice_garden.jpg
Madanagiri Ella,attraction,Rathnapura,0.0,Moderate,N/A,Madanagiri Ella located in Rathnapura.,data/images/madanagiri_ella.jpg
Madiha Beach,attraction,Matara,0.0,Moderate,N/A,Madiha Beach located in Matara.,data/images/madiha_beach.jpg
Madunagala Hot Water Spring,attraction,Hambantota,0.0,Moderate,N/A,Madunagala Hot Water Spring located in Hambantota.,data/images/madunagala_hot_water_spring.jpg
Magampura Ruhunu Heritage Museum,attraction,Hambantota,0.0,Moderate,N/A,Magampura Ruhunu Heritage Museum located in Hambantota.,data/images/magampura_ruhunu_heritage_museum.jpg
Mahamodara Beach Park & Marine Walk,attraction,Galle,0.0,Moderate,N/A,Mahamodara Beach Park & Marine Walk located in Galle.,data/images/mahamodara_beach_park_&_marine_walk.jpg
Mannar,attraction,Mannar,0.0,Moderate,N/A,"Nearby Accommodation: PALMYRAH HOUSE (Guest Houses), GREEN LINE GUEST HOUSE (Guest Houses), FOUR TEESS REST INN (Guest Houses)",data/images/mannar.jpg
Mapalana Ella Falls,attraction,Rathnapura,0.0,Moderate,N/A,Mapalana Ella Falls located in Rathnapura.,data/images/mapalana_ella_falls.jpg
Marakkala Ella,attraction,Rathnapura,0.0,Moderate,N/A,Marakkala Ella located in Rathnapura.,data/images/marakkala_ella.jpg
Maraluwawa raja maha viharaya,attraction,Kurunagela,0.0,Moderate,N/A,Maraluwawa raja maha viharaya located in Kurunagela.,data/images/maraluwawa_raja_maha_viharaya.jpg
Maritime Museum,attraction,Galle,0.0,Moderate,N/A,Maritime Museum located in Galle.,data/images/maritime_museum.jpg
Maruthamunai beach,attraction,Kalmunai,0.0,Moderate,N/A,Maruthamunai beach located in Kalmunai.,data/images/maruthamunai_beach.jpg
Matale,attraction,Matale,0.0,Moderate,N/A,"Nearby Accommodation: THE ELEPHANT CORRIDOR (Boutique Hotels), VIL UYANA (Boutique Hotels), JIMS FARM VILLA (Boutique Hotels)",data/images/matale.jpg
Matale town -  view point,attraction,Matale,0.0,Moderate,N/A,Matale town -  view point located in Matale.,data/images/matale_town_-__view_point.jpg
Matara,attraction,Matara,0.0,Moderate,N/A,"Nearby Accommodation: HIGHLAND VILLA (Boutique Hotels), MANDARA RESORT (Boutique Hotels), MIRISSA HILLS (Boutique Villas)",data/images/matara.jpg
Matara Beach Park,attraction,Matara,0.0,Moderate,N/A,Matara Beach Park located in Matara.,data/images/matara_beach_park.jpg
Matara Bodhiya,attraction,Matara,0.0,Moderate,N/A,Matara Bodhiya located in Matara.,data/images/matara_bodhiya.jpg
Matara Fort,attraction,Matara,0.0,Moderate,N/A,Matara Fort located in Matara.,data/images/matara_fort.jpg
Matara Paravi Duwa Beach,attraction,Matara,0.0,Moderate,N/A,Matara Paravi Duwa Beach located in Matara.,data/images/matara_paravi_duwa_beach.jpg
Mayan Water Park,attraction,Gampaha,0.0,Moderate,N/A,Mayan Water Park located in Gampaha.,data/images/mayan_water_park.jpg
"Meeran Mosque, Galle Fort",attraction,Galle,0.0,Moderate,N/A,"Meeran Mosque, Galle Fort located in Galle.","data/images/meeran_mosque,_galle_fort.jpg"
Minee Ella,attraction,Rathnapura,0.0,Moderate,N/A,Minee Ella located in Rathnapura.,data/images/minee_ella.jpg
Mirijjawila Botanical Gardens - South Gate,attraction,Hambantota,0.0,Moderate,N/A,Mirijjawila Botanical Gardens - South Gate located in Hambantota.,data/images/mirijjawila_botanical_gardens_-_south_gate.jpg
Mirissa Beach,attraction,Matara,0.0,Moderate,N/A,Mirissa Beach located in Matara.,data/images/mirissa.jpg
Mohini Falls,attraction,Hatton,0.0,Moderate,N/A,Mohini Falls located in Hatton.,data/images/mohini_falls.jpg
Moneragala,attraction,Moneragala,0.0,Moderate,N/A,"Nearby Accommodation: GAGA ADDARA GUEST (Bangalows), LEISURE BUNGALOW (Bangalows), MANDARA ROSEN HOTEL (Classified Hotels( 1-5 Star))",data/images/moneragala.jpg
Moon plains,attraction,Hatton,0.0,Moderate,N/A,Moon plains located in Hatton.,data/images/moon_plains.jpg
Mooray falls,attraction,Hatton,0.0,Moderate,N/A,Mooray falls located in Hatton.,data/images/mooray_falls.jpg
Mount Lavania Beach,attraction,colombo,0.0,Moderate,N/A,Mount Lavania Beach located in colombo.,data/images/mount_lavania_beach.jpg
Mount vernon waterfall,attraction,Hatton,0.0,Moderate,N/A,Mount vernon waterfall located in Hatton.,data/images/mount_vernon_waterfall.jpg
Mullaitivu,attraction,Mullaitivu,0.0,Moderate,N/A,"Nearby Accommodation: PEARL INN GUEST HOUSE (Guest Houses), RAJ REST (Guest Houses), SANA GUEST HOUSE (Guest Houses)",data/images/mullaitivu.jpg
Muthiyangana Raja Maha Vihara,attraction,Badulla,0.0,Moderate,N/A,Muthiyangana Raja Maha Vihara located in Badulla.,data/images/muthiyangana_raja_maha_vihara.jpg
Nalanda gedige,attraction,Matale,0.0,Moderate,N/A,Nalanda gedige located in Matale.,data/images/nalanda_gedige.jpg
Narangala Hill,attraction,Badulla,0.0,Moderate,N/A,Narangala Hill located in Badulla.,data/images/narangala_hill.jpg
Narangala Mountain,attraction,Badulla,0.0,Moderate,N/A,Narangala Mountain located in Badulla.,data/images/narangala_mountain.jpg
National Art Gallery,attraction,colombo,0.0,Moderate,N/A,National Art Gallery located in colombo.,data/images/national_art_gallery.jpg
National Meuseum Galle,attraction,Galle,0.0,Moderate,N/A,National Meuseum Galle located in Galle.,data/images/national_meuseum_galle.jpg
National spice garden of sri lanka,attraction,Matale,0.0,Moderate,N/A,National spice garden of sri lanka located in Matale.,data/images/national_spice_garden_of_sri_lanka.jpg
Nilwala Crocodile Safari,attraction,Matara,0.0,Moderate,N/A,Nilwala Crocodile Safari located in Matara.,data/images/nilwala_crocodile_safari.jpg
Nuwara Eliya,attraction,Nuwara Eliya,0.0,Moderate,N/A,"Nearby Accommodation: LANGDALE RESORT & SPA (Boutique Hotels), MIRAGE KINGS COTTAGE (Boutique Villas), DUNKELD BUNGALOW (Boutique Villas)",data/images/nuwara_eliya.jpg
Old Dutch Market,attraction,Matara,0.0,Moderate,N/A,Old Dutch Market located in Matara.,data/images/old_dutch_market.jpg
Old Parliament Building,attraction,colombo,0.0,Moderate,N/A,Old Parliament Building located in colombo.,data/images/old_parliament_building.jpg
Padiwita ambalama,attraction,Matale,0.0,Moderate,N/A,Padiwita ambalama located in Matale.,data/images/padiwita_ambalama.jpg
Pallewela Waterfall,attraction,Badulla,0.0,Moderate,N/A,Pallewela Waterfall located in Badulla.,data/images/pallewela_waterfall.jpg
Panagala,attraction,Kurunagela,0.0,Moderate,N/A,Panagala located in Kurunagela.,data/images/panagala.jpg
Pandiruppu,attraction,Kalmunai,0.0,Moderate,N/A,Pandiruppu located in Kalmunai.,data/images/pandiruppu.jpg
Pareiyan Ella Falls,attraction,Badulla,0.0,Moderate,N/A,Pareiyan Ella Falls located in Badulla.,data/images/pareiyan_ella_falls.jpg
Parewi Duwa Temple,attraction,Matara,0.0,Moderate,N/A,Parewi Duwa Temple located in Matara.,data/images/parewi_duwa_temple.jpg
Parrot Rock,attraction,Matara,0.0,Moderate,N/A,Parrot Rock located in Matara.,data/images/parrot_rock.jpg
